SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-O5YV-0526-SM-26GMJ  ,   0  ,  C1  ,  10x6  ,  mm;
GTEX-O5YV-0526-SM-26GN1  ,   0  ,  C1  ,  10x6  ,  mm;
GTEX-O5YV-0526-SM-2D7VZ  ,   0  ,  C1  ,  10x6  ,  mm;
GTEX-O5YV-0526-SM-2I5GE  ,   0  ,  C1  ,  10x6  ,  mm;
GTEX-O5YV-0526-SM-2M49G  ,   0  ,  C1  ,  10x6  ,  mm;
GTEX-O5YV-0626-SM-3LK64  ,   0  ,  C1  ,  3  ,  pieces
GTEX-O5YV-1026-SM-3LK72  ,   0  ,  C1  ,  3  ,  pieces
GTEX-O5YV-1126-SM-3LK73  ,   1  ,  C1  ,  25%  ,  adipose
GTEX-O5YV-1626-SM-2QU48  ,   0  ,  C1  ,  0;  ,  artery
GTEX-O5YV-1626-SM-2YUNJ  ,   0  ,  C1  ,  0;  ,  artery
GTEX-O5YV-1826-SM-2QU4A  ,   0  ,  C1  ,  5x1.7  ,  mm;
GTEX-O5YV-1826-SM-2YUNI  ,   0  ,  C1  ,  5x1.7  ,  mm;
GTEX-O5YV-2026-SM-26GMK  ,   0  ,  C1  ,  7x1  ,  mm
GTEX-O5YV-2026-SM-26GN2  ,   0  ,  C1  ,  7x1  ,  mm
GTEX-O5YV-2026-SM-2D7VS  ,   0  ,  C1  ,  7x1  ,  mm
GTEX-O5YW-0003-SM-2H2WT  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-O5YW-0003-SM-2XK1J  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-O5YW-0006-SM-2D45A  ,   B1  ,  7.4  ,  Blood  ,  Whole
GTEX-O5YW-0006-SM-3LK6E  ,   B1  ,  7.4  ,  Blood  ,  Whole
GTEX-O5YW-0126-SM-2D45C  ,   0  ,  B1  ,  3  ,  pieces
GTEX-O5YW-0126-SM-3LK6D  ,   0  ,  B1  ,  3  ,  pieces
GTEX-O5YW-0326-SM-2D45D  ,   0  ,  B1  ,  9x8  ,  mm
GTEX-O5YW-0326-SM-2I5EI  ,   0  ,  B1  ,  9x8  ,  mm
GTEX-O5YW-0426-SM-3MJHJ  ,   0  ,  B1  ,  3  ,  pieces,
GTEX-O5YW-0526-SM-2M47W  ,   0  ,  B1  ,  16x6  ,  mm;
GTEX-O5YW-0526-SM-2YUMX  ,   0  ,  B1  ,  16x6  ,  mm;
GTEX-O5YW-1426-SM-3MJHF  ,   1  ,  B1  ,  3  ,  pieces
GTEX-O5YW-1526-SM-3MJGL  ,   1  ,  B1  ,  3  ,  pieces,
GTEX-O5YW-1826-SM-2M47V  ,   0  ,  B1  ,  2  ,  pieces,
GTEX-O5YW-1826-SM-2YUN2  ,   0  ,  B1  ,  2  ,  pieces,
GTEX-O5YW-3026-SM-3MJHI  ,   0  ,  B1  ,  2  ,  pieces,
GTEX-OHPJ-0003-SM-2H2WV  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPJ-0003-SM-2XK1G  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPJ-0006-SM-2D459  ,   C1  ,  8.4  ,  Blood  ,  Whole
GTEX-OHPJ-0006-SM-3LK6G  ,   C1  ,  8.4  ,  Blood  ,  Whole
GTEX-OHPJ-0226-SM-2D45E  ,   0  ,  C1  ,  Epidermis  ,  is
GTEX-OHPJ-0526-SM-2D45B  ,   1  ,  C1  ,  2  ,  x
GTEX-OHPJ-0526-SM-2HMJR  ,   1  ,  C1  ,  2  ,  x
GTEX-OHPJ-0626-SM-2M47U  ,   1  ,  C1  ,  LDACC  ,  NOTE:
GTEX-OHPJ-0626-SM-2YUMY  ,   1  ,  C1  ,  LDACC  ,  NOTE:
GTEX-OHPJ-0726-SM-2M47S  ,   1  ,  C1  ,  LDACC  ,  NOTE:
GTEX-OHPJ-0726-SM-2YUNM  ,   1  ,  C1  ,  LDACC  ,  NOTE:
GTEX-OHPJ-0926-SM-2D45G  ,   0  ,  C1  ,  Minimal  ,  ischemic
GTEX-OHPJ-0926-SM-2HMJ1  ,   0  ,  C1  ,  Minimal  ,  ischemic
GTEX-OHPJ-1026-SM-2D45F  ,   0  ,  C1  ,  Remarkably  ,  well-preserved;
GTEX-OHPJ-1026-SM-2HMLE  ,   0  ,  C1  ,  Remarkably  ,  well-preserved;
GTEX-OHPJ-1326-SM-3MJHG  ,   0  ,  C1  ,  6  ,  pieces
GTEX-OHPJ-1626-SM-2D458  ,   0  ,  C1  ,  Minimal  ,  interstitial
GTEX-OHPJ-1626-SM-2HMKO  ,   0  ,  C1  ,  Minimal  ,  interstitial
GTEX-OHPK-0003-SM-2H2WX  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPK-0003-SM-2XJZU  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPK-0006-SM-2D45H  ,   B1  ,  6.7  ,  Blood  ,  Whole
GTEX-OHPK-0006-SM-2HMKH  ,   B1  ,  6.7  ,  Blood  ,  Whole
GTEX-OHPK-0226-SM-3MJH6  ,   0  ,  B1  ,  section  ,  is
GTEX-OHPK-0326-SM-2D456  ,   0  ,  B1  ,  section  ,  is
GTEX-OHPK-0326-SM-2HMJO  ,   0  ,  B1  ,  section  ,  is
GTEX-OHPK-0426-SM-3MJH3  ,   0  ,  B1  ,  fairly  ,  well
GTEX-OHPK-0526-SM-2D455  ,   2  ,  B1  ,  looks  ,  like
GTEX-OHPK-0526-SM-2HMJB  ,   2  ,  B1  ,  looks  ,  like
GTEX-OHPK-1326-SM-3MJGN  ,   1  ,  B1  ,  surprisingly  ,  good
GTEX-OHPK-1526-SM-3MJGM  ,   1  ,  B1  ,  corpus  ,  mucosa,
GTEX-OHPK-1626-SM-2M47T  ,   1  ,  B1  ,  but  ,  fixation
GTEX-OHPK-1626-SM-2YUN3  ,   1  ,  B1  ,  but  ,  fixation
GTEX-OHPK-1826-SM-2M47R  ,   1  ,  B1  ,  mild  ,  athersclerotic
GTEX-OHPK-1826-SM-2YUMR  ,   1  ,  B1  ,  mild  ,  athersclerotic
GTEX-OHPK-2026-SM-3MJH7  ,   1  ,  B1  ,  myometrium,  ,  lots
GTEX-OHPK-2326-SM-3MJH2  ,   1  ,  B1  ,  isthmic  ,  portion
GTEX-OHPK-2426-SM-3MJGH  ,   1  ,  B1  ,  lots  ,  of
GTEX-OHPK-2526-SM-3MJH9  ,   1  ,  B1  ,  unremarkable  ,  7.3
GTEX-OHPK-2626-SM-2D457  ,   1  ,  B1  ,  nodular  ,  change.
GTEX-OHPK-2626-SM-2HMK9  ,   1  ,  B1  ,  nodular  ,  change.
GTEX-OHPL-0003-SM-2BWY5  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPL-0003-SM-2XJZS  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPL-0006-SM-3MJHB  ,   B1  ,  8.8  ,  Blood  ,  Whole
GTEX-OHPL-0126-SM-2AXUS  ,   0  ,  B1  ,  3  ,  pieces.
GTEX-OHPL-0126-SM-2HMJ7  ,   0  ,  B1  ,  3  ,  pieces.
GTEX-OHPL-0326-SM-2AXV1  ,   0  ,  B1  ,  Hypertrophic  ,  nuclei
GTEX-OHPL-0326-SM-2HMKS  ,   0  ,  B1  ,  Hypertrophic  ,  nuclei
GTEX-OHPL-0326-SM-33HC8  ,   0  ,  B1  ,  Hypertrophic  ,  nuclei
GTEX-OHPL-0426-SM-3TW8X  ,   1  ,  B1  ,  No  ,  lesions
GTEX-OHPL-0526-SM-2AXUW  ,   1  ,  B1  ,  Bronchopneumonia;  ,  aspiration?
GTEX-OHPL-0526-SM-2HMIX  ,   1  ,  B1  ,  Bronchopneumonia;  ,  aspiration?
GTEX-OHPL-0526-SM-3NM8U  ,   1  ,  B1  ,  Bronchopneumonia;  ,  aspiration?
GTEX-OHPL-0626-SM-3MJGJ  ,   0  ,  B1  ,  3  ,  pieces.
GTEX-OHPL-0726-SM-3TW8U  ,   0  ,  B1  ,  Good  ,  epithelium
GTEX-OHPL-1026-SM-3MJGI  ,   0  ,  B1  ,  Fat  ,  is
GTEX-OHPL-1326-SM-3MJGG  ,   0  ,  B1  ,  1  ,  piece
GTEX-OHPL-1626-SM-2AXUX  ,   1  ,  B1  ,  Mislabeled  ,  ovary
GTEX-OHPL-1626-SM-2HMIR  ,   1  ,  B1  ,  Mislabeled  ,  ovary
GTEX-OHPL-1826-SM-2QU3B  ,   0  ,  B1  ,  Artery,  ,  vein,
GTEX-OHPL-1826-SM-2YUN8  ,   0  ,  B1  ,  Artery,  ,  vein,
GTEX-OHPL-2026-SM-3TW8R  ,   1  ,  B1  ,  small  ,  number
GTEX-OHPL-2526-SM-3MJGT  ,   1  ,  B1  ,  3  ,  pieces.
GTEX-OHPL-2626-SM-2AXUT  ,   1  ,  B1  ,  Chronic  ,  inflammation,
GTEX-OHPL-2626-SM-2HMJA  ,   1  ,  B1  ,  Chronic  ,  inflammation,
GTEX-OHPL-3026-SM-3MJGS  ,   1  ,  B1  ,  Moderate  ,  calcified
GTEX-OHPM-0003-SM-2BWYB  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPM-0003-SM-2XK1K  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPM-0006-SM-2AXV8  ,   B1  ,  7.9  ,  Blood  ,  Whole
GTEX-OHPM-0006-SM-2HMKU  ,   B1  ,  7.9  ,  Blood  ,  Whole
GTEX-OHPM-0126-SM-2QU3F  ,   0  ,  B1  ,  Epidermis  ,  is
GTEX-OHPM-0126-SM-2YUN9  ,   0  ,  B1  ,  Epidermis  ,  is
GTEX-OHPM-0226-SM-3LK61  ,   0  ,  B1  ,  slight  ,  underfixation
GTEX-OHPM-0326-SM-2AXUU  ,   0  ,  B1  ,  Moderate  ,  ischemic
GTEX-OHPM-0326-SM-2HMKT  ,   0  ,  B1  ,  Moderate  ,  ischemic
GTEX-OHPM-0326-SM-33HCA  ,   0  ,  B1  ,  Moderate  ,  ischemic
GTEX-OHPM-0426-SM-3TW8V  ,   1  ,  B1  ,  minimal  ,  atherosclerosis.
GTEX-OHPM-0526-SM-2AXUY  ,   1  ,  B1  ,  bronchial  ,  mucosal
GTEX-OHPM-0526-SM-2YUMJ  ,   1  ,  B1  ,  bronchial  ,  mucosal
GTEX-OHPM-0726-SM-3LK7A  ,   0  ,  B1  ,  Adequate  ,  for
GTEX-OHPM-1026-SM-3LK74  ,   1  ,  B1  ,  90%  ,  parenchyma,
GTEX-OHPM-1426-SM-3TW8Y  ,   1  ,  B1  ,  superficial  ,  sloughing.
GTEX-OHPM-1626-SM-2AXUZ  ,   1  ,  B1  ,  less  ,  than
GTEX-OHPM-1626-SM-2HMK4  ,   1  ,  B1  ,  less  ,  than
GTEX-OHPM-1826-SM-2QU3Z  ,   0  ,  B1  ,  Prominent  ,  atherosclerotic
GTEX-OHPM-1826-SM-2YUNF  ,   0  ,  B1  ,  Prominent  ,  atherosclerotic
GTEX-OHPM-2126-SM-3LK75  ,   1  ,  B1  ,  good  ,  clean
GTEX-OHPM-2626-SM-2AXUV  ,   1  ,  B1  ,  Reasonably  ,  well
GTEX-OHPM-2626-SM-2HMJL  ,   1  ,  B1  ,  Reasonably  ,  well
GTEX-OHPM-2626-SM-33HC5  ,   1  ,  B1  ,  Reasonably  ,  well
GTEX-OHPN-0004-SM-2BWYH  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPN-0004-SM-2XJZT  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-OHPN-0005-SM-2AXVX  ,   C1  ,  7.2  ,  Blood  ,  Whole
GTEX-OHPN-0005-SM-2YUML  ,   C1  ,  7.2  ,  Blood  ,  Whole
GTEX-OHPN-0011-R10A-SM-2I5FL  ,   C1,  ,  A1  ,  5.7  ,  Brain
GTEX-OHPN-0011-R10A-SM-2IZJA  ,   C1,  ,  A1  ,  5.7  ,  Brain
GTEX-OHPN-0011-R10A-SM-33HBU  ,   C1,  ,  A1  ,  5.7  ,  Brain
GTEX-OHPN-0011-R11A-SM-2I5FM  ,   C1,  ,  A1  ,  5.9  ,  Brain
GTEX-OHPN-0011-R11A-SM-2IZJB  ,   C1,  ,  A1  ,  5.9  ,  Brain
GTEX-OHPN-0011-R1A-SM-2I5GB  ,   C1,  ,  A1  ,  6  ,  Brain
GTEX-OHPN-0011-R1A-SM-2M49D  ,   C1,  ,  A1  ,  6  ,  Brain
GTEX-OHPN-0011-R2A-SM-2I5FB  ,   C1,  ,  A1  ,  6  ,  Brain
GTEX-OHPN-0011-R2A-SM-2IZJ3  ,   C1,  ,  A1  ,  6  ,  Brain
GTEX-OHPN-0011-R3A-SM-2I5FC  ,   C1,  ,  A1  ,  5.5  ,  Brain
GTEX-OHPN-0011-R3A-SM-2IZJ4  ,   C1,  ,  A1  ,  5.5  ,  Brain
GTEX-OHPN-0011-R4A-SM-2I5FD  ,   C1,  ,  A1  ,  5  ,  Brain
GTEX-OHPN-0011-R4A-SM-2IZJ5  ,   C1,  ,  A1  ,  5  ,  Brain
GTEX-OHPN-0011-R5A-SM-2I5FF  ,   C1,  ,  A1  ,  7.4  ,  Brain
GTEX-OHPN-0011-R5A-SM-2IZJ6  ,   C1,  ,  A1  ,  7.4  ,  Brain
GTEX-OHPN-0011-R6A-SM-2I5FH  ,   C1,  ,  A1  ,  6.4  ,  Brain
GTEX-OHPN-0011-R6A-SM-2IZJ7  ,   C1,  ,  A1  ,  6.4  ,  Brain
GTEX-OHPN-0011-R7A-SM-2I5FI  ,   C1,  ,  A1  ,  6.4  ,  Brain
GTEX-OHPN-0011-R7A-SM-2IZJ8  ,   C1,  ,  A1  ,  6.4  ,  Brain
GTEX-OHPN-0011-R8A-SM-2I5FJ  ,   C1,  ,  A1  ,  5.4  ,  Brain
GTEX-OHPN-0011-R8A-SM-2IZJ9  ,   C1,  ,  A1  ,  5.4  ,  Brain
GTEX-OHPN-0011-R8A-SM-33HBT  ,   C1,  ,  A1  ,  5.4  ,  Brain
GTEX-OHPN-0011-R9A-SM-2IZJL  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-OHPN-0011-R9A-SM-2YUMN  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-OHPN-2526-SM-2I5H3  ,   1  ,  C1  ,  Fragment  ,  of
GTEX-OHPN-2526-SM-2IZJH  ,   1  ,  C1  ,  Fragment  ,  of
GTEX-OHPN-2626-SM-2I5H1  ,   2  ,  C1  ,  2(granular  ,  layer)
GTEX-OHPN-2626-SM-2IZJG  ,   2  ,  C1  ,  2(granular  ,  layer)
GTEX-OHPN-2726-SM-2AXWJ  ,   0  ,  C1  ,  Appear  ,  atrophic;
GTEX-OHPN-2726-SM-2I5H4  ,   0  ,  C1  ,  Appear  ,  atrophic;
GTEX-OHPN-2826-SM-3LK67  ,   0  ,  C1  ,  1  ,  x
GTEX-OHPN-2926-SM-3LK65  ,   1  ,  C1  ,  Nerve  ,  is
GTEX-OIZF-0004-SM-2BWYY  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OIZF-0004-SM-2XK1H  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OIZF-0006-SM-2AXUB  ,   B1  ,  7.6  ,  Blood  ,  Whole
GTEX-OIZF-0006-SM-2I5GQ  ,   B1  ,  7.6  ,  Blood  ,  Whole
GTEX-OIZF-0126-SM-2AXUE  ,   0  ,  B1  ,  Epidermis  ,  is
GTEX-OIZF-0126-SM-2HML2  ,   0  ,  B1  ,  Epidermis  ,  is
GTEX-OIZF-0226-SM-2AXUI  ,   1  ,  B1  ,  Oversized  ,  (17mm)
GTEX-OIZF-0226-SM-2I5GR  ,   1  ,  B1  ,  Oversized  ,  (17mm)
GTEX-OIZF-0326-SM-2QU3W  ,   0  ,  B1  ,  Well  ,  preserved
GTEX-OIZF-0326-SM-2YUNE  ,   0  ,  B1  ,  Well  ,  preserved
GTEX-OIZF-0426-SM-3MJGX  ,   0  ,  B1  ,  3  ,  pieces:
GTEX-OIZF-0526-SM-2QU4O  ,   1  ,  B1  ,  Alveolar  ,  cellular
GTEX-OIZF-0526-SM-2YUNO  ,   1  ,  B1  ,  Alveolar  ,  cellular
GTEX-OIZF-0626-SM-3MJGZ  ,   1  ,  B1  ,  Epithelium  ,  is
GTEX-OIZF-0726-SM-3MJH1  ,   1  ,  B1  ,  3  ,  pieces:
GTEX-OIZF-1026-SM-3MJGW  ,   1  ,  B1  ,  Well  ,  preserved
GTEX-OIZF-1526-SM-3MJGY  ,   1  ,  B1  ,  Gastric  ,  body
GTEX-OIZF-1626-SM-2AXUM  ,   0  ,  B1  ,  12x9  ,  mm.
GTEX-OIZF-1626-SM-2YUMI  ,   0  ,  B1  ,  12x9  ,  mm.
GTEX-OIZF-1826-SM-2AXUP  ,   0  ,  B1  ,  Minimal  ,  intimal
GTEX-OIZF-1826-SM-2I5GT  ,   0  ,  B1  ,  Minimal  ,  intimal
GTEX-OIZF-2026-SM-3MJGO  ,   1  ,  B1  ,  Mixed  ,  atrophy
GTEX-OIZF-2626-SM-2AXUK  ,   1  ,  B1  ,  10x6  ,  mm.
GTEX-OIZF-2626-SM-2HML5  ,   1  ,  B1  ,  10x6  ,  mm.
GTEX-OIZF-3026-SM-3MJGU  ,   0  ,  B1  ,  Moderate  ,  atherosclerosis,
GTEX-OIZG-0003-SM-2BWYZ  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-OIZG-0003-SM-2XK2R  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-OIZG-0005-SM-2AXUC  ,   C1  ,  8.1  ,  Blood  ,  Whole
GTEX-OIZG-0005-SM-2HMJC  ,   C1  ,  8.1  ,  Blood  ,  Whole
GTEX-OIZG-0226-SM-2AXUG  ,   1  ,  C1  ,  9x8mm  ,  7
GTEX-OIZG-0226-SM-2TC5L  ,   1  ,  C1  ,  9x8mm  ,  7
GTEX-OIZG-0426-SM-3LK5W  ,   1  ,  C1  ,  Endothelium  ,  partially
GTEX-OIZG-0526-SM-2AXUH  ,   1  ,  C1  ,  Mild  ,  alveolar
GTEX-OIZG-0526-SM-2HMLF  ,   1  ,  C1  ,  Mild  ,  alveolar
GTEX-OIZG-0726-SM-2AXUL  ,   0  ,  C1  ,  Epidermis  ,  is
GTEX-OIZG-0726-SM-2I5GS  ,   0  ,  C1  ,  Epidermis  ,  is
GTEX-OIZG-0726-SM-33HBL  ,   0  ,  C1  ,  Epidermis  ,  is
GTEX-OIZG-0926-SM-3LK5Y  ,   0  ,  C1  ,  2  ,  pieces,
GTEX-OIZG-1026-SM-3LK5X  ,   0  ,  C1  ,  3  ,  pieces
GTEX-OIZG-1126-SM-2AXUQ  ,   0  ,  C1  ,  7.5x6mm  ,  aliquot
GTEX-OIZG-1126-SM-2HMIU  ,   0  ,  C1  ,  7.5x6mm  ,  aliquot
GTEX-OIZG-1326-SM-2AXUO  ,   1  ,  C1  ,  Moderate  ,  tissue
GTEX-OIZG-1326-SM-2HMIQ  ,   1  ,  C1  ,  Moderate  ,  tissue
GTEX-OIZG-1526-SM-2QU3R  ,   0  ,  C1  ,  Minimal  ,  intimal
GTEX-OIZG-1526-SM-2YUNG  ,   0  ,  C1  ,  Minimal  ,  intimal
GTEX-OIZH-0003-SM-2BWZ6  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OIZH-0003-SM-2XK32  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OIZH-0005-SM-2AXUD  ,   B1  ,  8.5  ,  Blood  ,  Whole
GTEX-OIZH-0005-SM-2HMJN  ,   B1  ,  8.5  ,  Blood  ,  Whole
GTEX-OIZH-0126-SM-2D44Z  ,   0  ,  B1  ,  Epidermis  ,  is
GTEX-OIZH-0126-SM-2HMIS  ,   0  ,  B1  ,  Epidermis  ,  is
GTEX-OIZH-0226-SM-2AXUJ  ,   0  ,  B1  ,  Central  ,  85%
GTEX-OIZH-0226-SM-2YUMH  ,   0  ,  B1  ,  Central  ,  85%
GTEX-OIZH-0326-SM-2AXUF  ,   1  ,  B1  ,  Patchy  ,  ischemic
GTEX-OIZH-0326-SM-2HMKC  ,   1  ,  B1  ,  Patchy  ,  ischemic
GTEX-OIZH-0526-SM-2AXUN  ,   1  ,  B1  ,  Mild  ,  emphysematous
GTEX-OIZH-0526-SM-2HMKV  ,   1  ,  B1  ,  Mild  ,  emphysematous
GTEX-OIZH-0626-SM-3NB1L  ,   0  ,  B1  ,  Mucosa  ,  averages
GTEX-OIZH-0726-SM-3NB1I  ,   0  ,  B1  ,  Aliquots  ,  average
GTEX-OIZH-1326-SM-3NB1H  ,   1  ,  B1  ,  Well  ,  preserved.
GTEX-OIZH-1426-SM-3NB1O  ,   1  ,  B1  ,  Remarkably  ,  well-preserved
GTEX-OIZH-1526-SM-3NB1J  ,   1  ,  B1  ,  Some  ,  areas
GTEX-OIZH-1626-SM-2D451  ,   0  ,  B1  ,  Approximately  ,  15
GTEX-OIZH-1626-SM-2HMKI  ,   0  ,  B1  ,  Approximately  ,  15
GTEX-OIZH-1826-SM-2QU54  ,   1  ,  B1  ,  4  ,  x
GTEX-OIZH-1826-SM-2YUNP  ,   1  ,  B1  ,  4  ,  x
GTEX-OIZH-2026-SM-3NB1M  ,   1  ,  B1  ,  Peripheral  ,  specimen,
GTEX-OIZH-2126-SM-3NB1P  ,   1  ,  B1  ,  10.5  ,  x
GTEX-OIZH-2626-SM-2D44X  ,   1  ,  B1  ,  10.5  ,  x
GTEX-OIZH-2626-SM-2HMJM  ,   1  ,  B1  ,  10.5  ,  x
GTEX-OIZH-3026-SM-3NB1G  ,   1  ,  B1  ,  Good  ,  clean
GTEX-OIZI-0005-SM-2XCED  ,   C1  ,  7.7  ,  Blood  ,  Whole
GTEX-OIZI-0005-SM-2XV5F  ,   C1  ,  7.7  ,  Blood  ,  Whole
GTEX-OIZI-0008-SM-2XCFD  ,   C1  ,  10  ,  Skin  ,  Cells
GTEX-OIZI-0008-SM-2XV77  ,   C1  ,  10  ,  Skin  ,  Cells
GTEX-OIZI-0126-SM-3NB13  ,   1  ,  C1  ,  Active  ,  spermatogenesis
GTEX-OIZI-0226-SM-2XCEE  ,   1  ,  C1  ,  About  ,  25%
GTEX-OIZI-0226-SM-2XV4P  ,   1  ,  C1  ,  About  ,  25%
GTEX-OIZI-0426-SM-2XCEF  ,   1  ,  C1  ,  No  ,  fat
GTEX-OIZI-0426-SM-2XV52  ,   1  ,  C1  ,  No  ,  fat
GTEX-OIZI-0526-SM-2XCEG  ,   0  ,  C1  ,  No  ,  lesion.
GTEX-OIZI-0526-SM-2XV55  ,   0  ,  C1  ,  No  ,  lesion.
GTEX-OIZI-0626-SM-2XCEH  ,   1  ,  C1  ,  7.6x7mm  ,  8.4
GTEX-OIZI-0626-SM-2XV6K  ,   1  ,  C1  ,  7.6x7mm  ,  8.4
GTEX-OIZI-0726-SM-2XCEI  ,   1  ,  C1  ,  8  ,  x
GTEX-OIZI-0726-SM-2XV6V  ,   1  ,  C1  ,  8  ,  x
GTEX-OIZI-1026-SM-2VCU2  ,   1  ,  C1  ,  Atelectasis  ,  Lung
GTEX-OIZI-1026-SM-2XK39  ,   1  ,  C1  ,  Atelectasis  ,  Lung
GTEX-OIZI-1026-SM-3NB1K  ,   1  ,  C1  ,  Atelectasis  ,  8.1
GTEX-OIZI-1126-SM-3NB1F  ,   1  ,  C1  ,  endothelium  ,  sloughed.
GTEX-OIZI-1326-SM-3NB1B  ,   0  ,  C1  ,  well-visualized  ,  ganglion
GTEX-OIZI-1426-SM-3NB1T  ,   1  ,  C1  ,  Squamous  ,  mucosa
GTEX-OOBJ-0003-SM-2BWZC  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OOBJ-0003-SM-2XK2P  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OOBJ-0006-SM-2D44R  ,   B1  ,  8.6  ,  Blood  ,  Whole
GTEX-OOBJ-0006-SM-2I3F4  ,   B1  ,  8.6  ,  Blood  ,  Whole
GTEX-OOBJ-0008-SM-3NB26  ,   B1  ,  10  ,  Skin  ,  Cells
GTEX-OOBJ-0226-SM-2D453  ,   1  ,  B1  ,  18x11mm.  ,  Central
GTEX-OOBJ-0226-SM-2YUMM  ,   1  ,  B1  ,  18x11mm.  ,  Central
GTEX-OOBJ-0326-SM-2D452  ,   1  ,  B1  ,  9.4x7mm.  ,  Clean
GTEX-OOBJ-0326-SM-2I3F8  ,   1  ,  B1  ,  9.4x7mm.  ,  Clean
GTEX-OOBJ-0326-SM-33HBO  ,   1  ,  B1  ,  9.4x7mm.  ,  Clean
GTEX-OOBJ-0426-SM-3NB1S  ,   1  ,  B1  ,  Specimens  ,  average
GTEX-OOBJ-0826-SM-3NB2K  ,   1  ,  B1  ,  11.2x  ,  8.3mm.
GTEX-OOBJ-1026-SM-3NB2L  ,   1  ,  B1  ,  11.2x8.3mm.  ,  Well
GTEX-OOBJ-1526-SM-3NB1Q  ,   1  ,  B1  ,  Extremely  ,  well
GTEX-OOBJ-1626-SM-2D44Y  ,   0  ,  B1  ,  17  ,  x
GTEX-OOBJ-1626-SM-2I3F7  ,   0  ,  B1  ,  17  ,  x
GTEX-OOBJ-1826-SM-3NB1C  ,   1  ,  B1  ,  4.4  ,  x
GTEX-OOBJ-2026-SM-3NB1R  ,   1  ,  B1  ,  13  ,  x
GTEX-OOBJ-2126-SM-3NB1N  ,   1  ,  B1  ,  12  ,  x
GTEX-OOBJ-2626-SM-2D44W  ,   1  ,  B1  ,  Possible  ,  0.4
GTEX-OOBJ-2626-SM-2I3F6  ,   1  ,  B1  ,  Possible  ,  0.4
GTEX-OOBJ-3026-SM-3NB1D  ,   1  ,  B1  ,  4.8  ,  x
GTEX-OOBK-0004-SM-2BWYT  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OOBK-0004-SM-2XK1M  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-OOBK-0005-SM-2D43L  ,   B1  ,  8.3  ,  Blood  ,  Whole
GTEX-OOBK-0005-SM-2YUMG  ,   B1  ,  8.3  ,  Blood  ,  Whole
GTEX-OOBK-0008-SM-3NB27  ,   B1  ,  10  ,  Skin  ,  Cells
GTEX-OOBK-0126-SM-2QU3Y  ,   1  ,  B1  ,  0-1.  ,  9.7x3mm.
GTEX-OOBK-0126-SM-2YUND  ,   1  ,  B1  ,  0-1.  ,  9.7x3mm.
GTEX-OOBK-0226-SM-2YUMF  ,   1  ,  B1  ,  1.  ,  5.7x5.4mm.
GTEX-OOBK-0425-SM-3LK5O  ,   1  ,  B1  ,  1.  ,  10x1.6mm.
GTEX-OOBK-0526-SM-2D43Q  ,   1  ,  B1  ,  1.  ,  13.5x7mm.
GTEX-OOBK-0526-SM-2HMJJ  ,   1  ,  B1  ,  1.  ,  13.5x7mm.
GTEX-OOBK-0625-SM-3LK5P  ,   1  ,  B1  ,  0-1.  ,  Epithelial
GTEX-OOBK-0726-SM-3LK5Q  ,   1  ,  B1  ,  0-1.  ,  One
GTEX-OOBK-1626-SM-2D43R  ,   1  ,  B1  ,  0-1.  ,  12x7mm
GTEX-OOBK-1626-SM-2HMKG  ,   1  ,  B1  ,  0-1.  ,  12x7mm
GTEX-OOBK-2025-SM-3LK5S  ,   1  ,  B1  ,  1.  ,  12
GTEX-OOBK-2126-SM-3LK5T  ,   2  ,  B1  ,  1-2.  ,  11.7
GTEX-OOBK-2626-SM-2D43S  ,   1  ,  B1  ,  1.  ,  13.2x8mm.
GTEX-OOBK-2626-SM-2HMKY  ,   1  ,  B1  ,  1.  ,  13.2x8mm.
