SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-N7MT-0011-R5a-SM-2AXVM  ,   D1,  ,  A1  ,  7.4  ,  Brain
GTEX-N7MT-0011-R5a-SM-2I3G6  ,   D1,  ,  A1  ,  7.4  ,  Brain
GTEX-N7MT-0011-R6a-SM-2I3G3  ,   D1,  ,  A1  ,  7.5  ,  Brain
GTEX-N7MT-0011-R6a-SM-2IZIT  ,   D1,  ,  A1  ,  7.5  ,  Brain
GTEX-N7MT-0011-R7a-SM-2AXV9  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-N7MT-0011-R7a-SM-2I3FZ  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-N7MT-0011-R8a-SM-2AXV2  ,   D1,  ,  A1  ,  5.3  ,  Brain
GTEX-N7MT-0011-R8a-SM-2I5GU  ,   D1,  ,  A1  ,  5.3  ,  Brain
GTEX-N7MT-0126-SM-26GMB  ,   1  ,  D1  ,  10x9  ,  mm
GTEX-N7MT-0126-SM-26GMS  ,   1  ,  D1  ,  10x9  ,  mm
GTEX-N7MT-0126-SM-2D43B  ,   1  ,  D1  ,  10x9  ,  mm
GTEX-N7MT-0126-SM-2D7VT  ,   1  ,  D1  ,  10x9  ,  mm
GTEX-N7MT-0726-SM-3TW8S  ,   0  ,  D1  ,  11x8  ,  mm;
GTEX-N7MT-1026-SM-3TW8T  ,   0  ,  D1  ,  16x6  ,  mm;
GTEX-N7MT-1126-SM-2QU53  ,   0  ,  D1  ,  1,  ,  6.6x3.6
GTEX-N7MT-1126-SM-2YUNQ  ,   0  ,  D1  ,  1,  ,  6.6x3.6
GTEX-N7MT-1226-SM-26GMC  ,   0  ,  D1  ,  1  ,  piece
GTEX-N7MT-1226-SM-26GMT  ,   0  ,  D1  ,  1  ,  piece
GTEX-N7MT-1226-SM-2D7W4  ,   0  ,  D1  ,  1  ,  piece
GTEX-N7MT-1226-SM-2TC6K  ,   0  ,  D1  ,  1  ,  piece
GTEX-N7MT-1326-SM-2AXUA  ,   0  ,  D1  ,  Fatty  ,  infiltration
GTEX-N7MT-1326-SM-2I3FV  ,   0  ,  D1  ,  Fatty  ,  infiltration
GTEX-N7MT-1426-SM-3LK5M  ,   0  ,  D1  ,  3  ,  pieces
GTEX-N7MT-1626-SM-3LK71  ,   1  ,  D1  ,  10x8  ,  mm;
GTEX-N7MT-1926-SM-3LK5N  ,   0  ,  D1  ,  3  ,  pieces,
GTEX-NFK9-0004-SM-2BWYG  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-NFK9-0004-SM-2XK1E  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-NFK9-0006-SM-3GACS  ,   C1  ,  7  ,  Blood  ,  Whole
GTEX-NFK9-0126-SM-3LK5H  ,   1  ,  C1  ,  Mild  ,  autolysis
GTEX-NFK9-0226-SM-2AXU5  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0226-SM-2HMKQ  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0326-SM-3MJGV  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0426-SM-2QU4B  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0426-SM-2YUNK  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0526-SM-2QU51  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0526-SM-2YUNL  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0626-SM-2AXU6  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0626-SM-2HMIV  ,   0  ,  C1  ,  OK  ,  for
GTEX-NFK9-0726-SM-2AXU7  ,   1  ,  C1  ,  OK  ,  for
GTEX-NFK9-0726-SM-2HMJW  ,   1  ,  C1  ,  OK  ,  for
GTEX-NFK9-0926-SM-2AXU8  ,   0  ,  C1  ,  minimal  ,  interstitial
GTEX-NFK9-0926-SM-2HMJU  ,   0  ,  C1  ,  minimal  ,  interstitial
GTEX-NFK9-1026-SM-2AXU9  ,   1  ,  C1  ,  mild  ,  congestion
GTEX-NFK9-1026-SM-2HMK1  ,   1  ,  C1  ,  mild  ,  congestion
GTEX-NFK9-1126-SM-3LK78  ,   1  ,  C1  ,  OK  ,  for
GTEX-NFK9-1226-SM-3LK79  ,   1  ,  C1  ,  OK  ,  for
GTEX-NFK9-1326-SM-3LK5I  ,   1  ,  C1  ,  OK  ,  for
GTEX-NFK9-1526-SM-3LK7B  ,   1  ,  C1  ,  Remarkably  ,  well
GTEX-NFK9-1626-SM-3LK5J  ,   1  ,  C1  ,  Remarkably  ,  well-preserved;
GTEX-NFK9-1726-SM-3TW8P  ,   1  ,  C1  ,  All  ,  cortex,
GTEX-NFK9-2026-SM-3LK5K  ,   1  ,  C1  ,  remarkably  ,  well
GTEX-NFK9-2226-SM-3MJGP  ,   1  ,  C1  ,  Glands  ,  remarkably
GTEX-NL3H-0006-SM-2AXUR  ,   C1  ,  6.5  ,  Blood  ,  Whole
GTEX-NL3H-0006-SM-2I3FW  ,   C1  ,  6.5  ,  Blood  ,  Whole
GTEX-NL3H-0009-SM-2BWYN  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-NL3H-0009-SM-2XK1L  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-NL3H-0011-R10A-SM-2I3E9  ,   C1,  ,  A1  ,  7.7  ,  Brain
GTEX-NL3H-0011-R10A-SM-2IZHY  ,   C1,  ,  A1  ,  7.7  ,  Brain
GTEX-NL3H-0011-R11A-SM-2I3E6  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-NL3H-0011-R11A-SM-2IZHV  ,   C1,  ,  A1  ,  7  ,  Brain
